place,title,msg,price,per_meter,year,area,age
打浦大楼,看房方便 阳光充足 交通方便 诚意出售,低楼层 (共16层) | 1978年建 | 2室1厅 | 59.61平米 | 南,728,"122,128",1978,59.61,44
打浦路339弄,打浦路339精装修，三面采光全明户型两房,高楼层 (共6层) | 1982年建 | 2室1厅 | 50.87平米 | 东 北,478,"93,966",1982,50.87,40
打浦路339弄,中间楼层 西边套全明户型 鲁班路地铁口,中楼层 (共6层) | 1982年建 | 2室1厅 | 50.87平米 | 西北,490,"96,324",1982,50.87,40
文海大楼,人民广场商圈，中区双南两房采光视野好,中楼层 (共16层) | 1990年建 | 2室1厅 | 78.8平米 | 南,860,"109,138",1990,78.8,32
斜土新村,总价低 单价低 楼层好 一室半 厨卫全明,中楼层 (共7层) | 1987年建 | 1室1厅 | 43.7平米 | 南,470,"107,552",1987,43.7,35
斜土新村,阳光好房：打浦桥地铁 低总价2房 南面带阳台 边套全明,高楼层 (共7层) | 1988年建 | 2室0厅 | 56.1平米 | 南,590,"105,170",1988,56.1,34
斜土新村,打浦桥朝南低总价1房，自如装修直接入住,高楼层 (共7层) | 1987年建 | 1室1厅 | 36.6平米 | 南,406,"110,929",1987,36.6,35
斜土路262弄,*资源丰富+南北通+交通便利,高楼层 (共6层) | 1985年建 | 2室1厅 | 53.23平米 | 南,560,"105,204",1985,53.23,37
斜土路262弄,*资源丰富+南北通+交通便利,高楼层 (共6层) | 1985年建 | 2室1厅 | 53.23平米 | 南,560,"105,204",1985,53.23,37
新中苑,业主诚意出售，全明户型，精装修，满五年一套无个税,中楼层 (共30层) | 1999年建 | 4室2厅 | 172.6平米 | 南 北,1925,"111,530",1999,172.6,23
新家坡园景苑,花园小区，人车分流，买进价高税少，3房2卫全明户型,低楼层 (共34层) | 1999年建 | 3室1厅 | 114.35平米 | 南,1320,"115,436",1999,114.35,23
新家坡园景苑,花园小区，人车分流，买进价高税少，3房2卫全明户型,低楼层 (共34层) | 1999年建 | 3室1厅 | 114.35平米 | 南,1320,"115,436",1999,114.35,23
明日星城(二期、三期),2011年房龄，南北通透，满五免个税，户型方正,低楼层 (共33层) | 2011年建 | 3室2厅 | 125.24平米 | 北 南,1700,"135,740",2011,125.24,11
明日星城(二期、三期),满五年V1，南北通透户型正气；全明户型，得房率高。,低楼层 (共35层) | 2005年建 | 3室2厅 | 120.87平米 | 南 北,1580,"130,719",2005,120.87,17
明日星城（一期）,豫园商圈 02年复式房带大花园 自带会所 全天采光,低楼层 (共34层) | 2002年建 | 2室2厅 | 106.88平米 | 南,1280,"119,761",2002,106.88,20
明日星城（一期）,豫园商圈 02年复式房带大花园 自带会所 全天采光,低楼层 (共34层) | 2002年建 | 2室2厅 | 106.88平米 | 南,1280,"119,761",2002,106.88,20
明日星城（一期）,高区视野，瞰江景观南北两房，业主诚售，看房方便,低楼层 (共34层) | 2002年建 | 2室2厅 | 95.18平米 | 南 北,1300,"136,584",2002,95.18,20
望江苑,高雄居委，高区江景四房户型，婚房装修，拎包入住,高楼层 (共28层) | 2000年建 | 3室2厅 | 154.47平米 | 南,1988,"128,699",2000,154.47,22
望江苑,高雄居委，高区江景四房户型，婚房装修，拎包入住,高楼层 (共28层) | 2000年建 | 3室2厅 | 154.47平米 | 南,1988,"128,699",2000,154.47,22
桥一小区,满五年，精装修，楼层高视野好。,高楼层 (共7层) | 1989年建 | 1室1厅 | 42.8平米 | 南,478,"111,683",1989,42.8,33
江南新苑,老卢湾一梯两户小高层，14打头11万单价买三房，02年建,低楼层 (共14层) | 2002年建 | 3室2厅 | 131.25平米 | 南,1488,"113,372",2002,131.25,20
济南路8号,高区看淮海公园+新天地区域+五星物业服务,中楼层 (共31层) 1室2厅 | 108.12平米 | 东 北,1600,"147,984",,108.12,
海华花园,打浦桥+老卢湾+外销品质小区+南北通全明,低楼层 (共33层) | 1994年建 | 3室2厅 | 117.37平米 | 南,1330,"113,317",1994,117.37,28
海华花园,中海物业 满五年 三轨交 双阳台 楼层高 外销房,高楼层 (共33层) | 1994年建 | 3室2厅 | 115.22平米 | 东南,1380,"119,771",1994,115.22,28
海华花园,中海物业 满五年 三轨交 双阳台 楼层高 外销房,高楼层 (共33层) | 1994年建 | 3室2厅 | 115.22平米 | 东南,1380,"119,771",1994,115.22,28
海悦花园,品质小区 人车分流 绿化高 交通便,高楼层 (共39层) | 2005年建 | 3室2厅 | 133.42平米 | 南,1950,"146,155",2005,133.42,17
海潮公寓,近南浦大桥，满五年一套，1000万电梯两房，视野开阔,高楼层 (共31层) | 1994年建 | 2室1厅 | 105.35平米 | 南,996,"94,543",1994,105.35,28
海潮新村,房改售房税费少，房龄新，单价低,中楼层 (共7层) | 1993年建 | 1室1厅 | 34.28平米 | 北,350,"102,101",1993,34.28,29
瑞金二路410弄,售后公房 9号线打浦桥 配套全 生活便利,低楼层 (共7层) | 1988年建 | 2室1厅 | 58.43平米 | 北,620,"106,110",1988,58.43,34
瑞金二路410弄,全明户型可塑造的精致2室，视野开阔，光线满满无遮挡,中楼层 (共7层) | 1988年建 | 1室1厅 | 38.85平米 | 东,485,"124,840",1988,38.85,34
瑞金二路410弄,售后公房 9号线打浦桥 配套全 生活便利,低楼层 (共7层) | 1988年建 | 2室1厅 | 58.43平米 | 北,620,"106,110",1988,58.43,34
瑞金二路410弄,五年一套房，边套全明户型，出门过马路就是地铁商场,高楼层 (共7层) | 1988年建 | 1室1厅 | 35.4平米 | 南,430,"121,469",1988,35.4,34
百花公寓,4/8号双地铁+公园旁+面积大+精装修+不沿街+户型方正,低楼层 (共15层) | 1999年建 | 2室2厅 | 120.28平米 | 东 南 北,1236,"102,761",1999,120.28,23
瞿溪新村,售后公房 楼层号 视野开阔 采光充足 配套设施齐全,低楼层 (共6层) | 1964年建 | 2室0厅 | 45.34平米 | 南,445,"98,148",1964,45.34,58
瞿溪新村,总价低，内环内，厨卫独用，楼层好，税费少,低楼层 (共6层) | 1964年建 | 1室0厅 | 27.06平米 | 南,280,"103,474",1964,27.06,58
瞿西新村,低总价，精装修，一室户。中间楼层，采光视野好,中楼层 (共7层) | 1989年建 | 1室0厅 | 33.16平米 | 东 北,315,"94,994",1989,33.16,33
瞿西新村,总价低，精装朝南，格局通透，诚意出售,低楼层 (共6层) | 1988年建 | 1室1厅 | 41.87平米 | 南,439,"104,849",1988,41.87,34
精文苑,上外+大同 近黄浦江 小区小巧精致 闹中取静 舒适度高,低楼层 (共18层) 3室2厅 | 120.72平米 | 东 南 北,1580,"130,882",,120.72,
联海小区,楼层好，采光足，户型优，诚意售，看房便,中楼层 (共5层) | 1986年建 | 2室1厅 | 48.49平米 | 南,580,"119,613",1986,48.49,36
莱兴公寓,内环内，配套完善，海华卢湾，交通便捷，电梯房；,中楼层 (共20层) | 1996年建 | 1室1厅 | 67.44平米 | 北,680,"100,831",1996,67.44,26
莱兴公寓,内环内，配套完善，海华卢湾，交通便捷，电梯房；,中楼层 (共20层) | 1996年建 | 1室1厅 | 67.44平米 | 北,680,"100,831",1996,67.44,26
莱兴公寓,内环内，老卢湾板，配套完善，交通便捷，三开间朝南；,中楼层 (共20层) | 1996年建 | 3室2厅 | 124.9平米 | 南,1430,"114,492",1996,124.9,26
蒙自路345弄,精装修可拎包入住+格局好+采光好+诚意出售+五里桥板块,中楼层 (共5层) | 1981年建 | 1室0厅 | 32.01平米 | 东 北,370,"115,589",1981,32.01,41
蒙自路395弄,精装两室一厅，全明户型，业主诚意出售、,低楼层 (共7层) | 1987年建 | 2室1厅 | 44.9平米 | 南,495,"110,245",1987,44.9,35
蒙自路601弄,此房满五税费少，一房一厅，厨卫全明，地铁4 13号线,中楼层 (共6层) | 1986年建 | 1室1厅 | 40.05平米 | 西南,406,"101,374",1986,40.05,36
蒙西小区,近丽园公园，马当路地铁，总价低一房,高楼层 (共7层) | 1994年建 | 1室1厅 | 36.12平米 | 北,398,"110,189",1994,36.12,28
蒙西小区,蒙西小区，低楼层，低总价，生活便利，业主诚意出售,低楼层 (共6层) | 1987年建 | 1室0厅 | 35.19平米 | 南,380,"107,986",1987,35.19,35
西凌新邨,精装修+高区视野开阔+满五年+业主诚意委托,高楼层 (共32层) | 1995年建 | 2室1厅 | 87.73平米 | 东,850,"96,889",1995,87.73,27
西凌新邨,精装修+高区视野开阔+满五年+业主诚意委托,高楼层 (共32层) | 1995年建 | 2室1厅 | 87.73平米 | 东,850,"96,889",1995,87.73,27
西凌新邨,满五年，低总价朝南一室户，诚意出售，看房随时,高楼层 (共6层) | 1987年建 | 1室1厅 | 39.21平米 | 南,435,"110,942",1987,39.21,35
西凌新邨,满五年，朝南一室户，户型正采光佳，诚意出售,低楼层 (共6层) | 1987年建 | 1室0厅 | 41.04平米 | 南,465,"113,305",1987,41.04,35
运泰公寓,诚意出售；楼层好；视野开阔；到价签字；,高楼层 (共18层) | 1999年建 | 3室2厅 | 148.8平米 | 南,1365,"91,734",1999,148.8,23
金外滩花园,链家房源：业主诚意出售，高区3室南北通透，看景观,中楼层 (共31层) | 2006年建 | 3室2厅 | 170.72平米 | 南 北,2786,"163,192",2006,170.72,16
银南大厦,房型方正+满五唯 一+地铁上 盖+诚意出售,中楼层 (共22层) | 1990年建 | 3室1厅 | 97.01平米 | 东,855,"88,136",1990,97.01,32
长新大楼,人民广场板块，正气一房户型，苏州河景观房，近地铁,高楼层 (共21层) | 1987年建 | 1室1厅 | 40.26平米 | 东 东南,685,"170,145",1987,40.26,35
长新大楼,人民广场板块，正气一房户型，苏州河景观房，近地铁,高楼层 (共21层) | 1987年建 | 1室1厅 | 40.26平米 | 东 东南,685,"170,145",1987,40.26,35
香港广场,淮海路繁华地段 住宅房 高区三房 诚意出售 带租约,中楼层 (共38层) | 1997年建 | 3室2厅 | 133.96平米 | 南,1350,"100,777",1997,133.96,25
马当小区,双开间朝南，新天地两室电梯房，高层朝南采光棒,高楼层 (共26层) | 1992年建 | 2室1厅 | 78.6平米 | 南,1060,"134,861",1992,78.6,30
